Address,Value,Soft Miss,Hard Miss, Hit, Evicted Page, Dirty Bit
1C85,140,1,1,0,0,0
5819,100,1,1,0,0,0
14E2,46,1,1,0,0,0
9301,3,1,1,0,0,0
C7D5,151,1,1,0,0,0
7612,95,1,1,0,0,0
F8D3,161,1,1,0,0,0
C8CF,69,1,1,0,0,0
BC6F,146,1,1,0,0,0
4291,250,1,1,0,0,0
09E0,188,1,1,0,0,0
022F,76,1,1,0,0,0
2E6E,239,1,1,0,0,0
A105,25,1,1,0,0,0
D479,133,1,1,0,0,0
D3C1,3,1,1,0,0,0
C99A,4,1,1,0,20,0
D88F,137,1,1,0,28,0
1311,249,1,1,0,66,0
982C,48,1,1,0,88,0
157A,20,1,1,0,118,0
55FC,73,1,1,0,147,0
6494,179,1,1,0,152,0
976B,49,1,1,0,161,0
8015,103,1,1,0,188,0
97DF,248,1,0,1,0,0
4710,235,1,1,0,199,0
69D0,67,1,1,0,200,0
0590,192,1,1,0,201,0
75A3,243,1,1,0,211,0
AAB0,117,1,1,0,212,0
5C0E,110,1,1,0,216,0
D8B9,104,1,1,0,248,0
B45D,43,1,1,0,2,0
F701,40,1,1,0,5,0
A3E4,166,1,1,0,9,0
1F84,132,1,1,0,19,0
9872,128,1,1,0,21,0
CA52,97,1,1,0,46,0
706D,34,1,1,0,71,0
6AF3,239,1,1,0,85,0
188D,205,1,1,0,92,0
3A0F,135,1,1,0,100,0
EA8B,96,1,1,0,105,0
3D3C,193,1,1,0,112,0
9C33,18,1,1,0,117,0
62E0,155,1,1,0,128,0
C093,64,1,1,0,151,0
1F7A,9,1,0,1,0,0
B590,212,1,1,0,152,0
F1BA,1,1,1,0,156,0
A1B5,81,1,1,0,163,0
7D6E,190,1,1,0,170,0
540F,185,1,1,0,180,0
AB3B,180,1,1,0,181,0
CBC7,74,1,1,0,192,0
9162,149,1,1,0,202,0
99C1,95,1,1,0,216,0
2691,21,1,1,0,234,0
7A9F,151,1,1,0,247,0
F41F,148,1,1,0,24,0
73B1,150,1,1,0,31,0
A8E2,237,1,1,0,38,0
8A89,26,1,1,0,58,0
8FB8,174,1,1,0,61,0
9D1F,97,1,1,0,84,1
24C2,239,1,1,0,98,0
75DA,117,1,1,0,106,0
1557,2,1,1,0,122,0
653F,83,1,1,0,125,0
A728,130,1,1,0,138,0
7C1C,56,1,1,0,143,0
B8A1,220,1,1,0,145,1
9951,50,1,0,1,0,0
06C8,90,1,1,0,157,0
D5E4,54,1,1,0,161,1
6A84,240,1,1,0,168,0
255F,196,1,1,0,171,1
C2D4,234,1,1,0,203,0
E58E,11,1,1,0,241,0
95A4,198,1,1,0,244,1
0C16,182,1,1,0,6,0
A495,25,1,1,0,21,1
9555,115,1,0,1,0,0
751A,205,1,0,1,0,0
3251,8,1,1,0,36,0
16E0,145,1,1,0,37,0
7A3E,136,1,1,0,101,1
0EFE,140,1,1,0,106,0
8C8A,87,1,1,0,115,0
5EFD,223,1,1,0,117,0
CB3D,0,1,1,0,122,0
69D9,108,1,1,0,124,0
485F,33,1,1,0,140,0
793F,64,1,1,0,149,0
6EF4,68,1,1,0,153,0
725F,173,1,1,0,164,0
EB19,62,1,1,0,167,0
66D4,145,1,1,0,184,1
9241,56,1,1,0,194,0
0A5F,244,1,1,0,203,0
BCFE,249,1,1,0,213,0
6C62,46,1,1,0,229,0
2D35,47,1,1,0,235,0
85F7,46,1,1,0,12,0
3FF7,30,1,1,0,14,1
AB3D,196,1,1,0,22,1
9D97,160,1,1,0,50,1
4697,222,1,1,0,72,0
EA06,85,1,1,0,94,0
6583,228,1,1,0,102,0
1F95,192,1,1,0,105,1
CA0E,26,1,1,0,108,0
B762,171,1,1,0,110,0
CF8E,227,1,1,0,114,0
D2C7,130,1,1,0,121,0
04D3,91,1,1,0,133,0
EC88,230,1,1,0,146,0
641B,176,1,1,0,157,0
03F4,253,1,1,0,171,0
49EF,202,1,1,0,183,0
E7E2,125,1,1,0,188,0
8238,135,1,1,0,202,0
90A5,34,1,1,0,207,0
48A9,74,1,1,0,210,0
D732,71,1,1,0,234,0
56E8,29,1,1,0,236,0
88EF,159,1,1,0,3,0
159E,108,1,1,0,4,0
60FA,156,1,1,0,10,0
57E0,144,1,1,0,21,0
3795,65,1,1,0,31,0
B876,207,1,1,0,45,0
BD05,237,1,1,0,63,0
028C,138,1,1,0,70,1
88E9,106,1,0,1,0,0
BD66,154,1,0,1,0,0
E01B,27,1,1,0,72,0
3E61,53,1,1,0,73,0
61AE,163,1,1,0,86,0
86BE,148,1,1,0,87,0
3B4A,172,1,1,0,96,0
E3A2,146,1,1,0,97,1
1BEE,222,1,1,0,100,1
634A,26,1,1,0,101,0
60C9,248,1,1,0,130,1
5BE4,174,1,1,0,136,0
DC9B,74,1,1,0,144,0
48DE,6,1,1,0,184,0
0D31,133,1,1,0,189,0
4CD3,146,1,1,0,215,0
9AAF,52,1,1,0,220,0
8F48,224,1,1,0,224,0
8773,55,1,1,0,227,0
3AA5,121,1,1,0,231,0
798C,235,1,1,0,2,0
8F38,175,1,0,1,0,0
36F8,24,1,1,0,13,0
A721,29,1,1,0,27,0
AB78,122,1,1,0,55,0
3A65,7074243,1,0,0,0,0
EAB0,135,1,1,0,59,0
2BFD,210,1,1,0,62,0
B98F,126,1,1,0,72,0
F0B5,192,1,1,0,76,0
6C20,182,1,1,0,91,0
C2CC,88,1,1,0,96,0
E9C1,235,1,1,0,99,0
B9BF,251,1,0,1,0,0
59E6,121,1,1,0,121,0
697A,36,1,1,0,134,0
96A8,37,1,1,0,135,0
F0DE,10,1,0,1,0,0
BCAB,56,1,1,0,143,0
93DD,178,1,1,0,154,0
55D3,227,1,1,0,167,0
F173,61,1,1,0,171,0
096C,10,1,1,0,185,0
3D03,165,1,1,0,194,0
9F62,103,1,1,0,233,0
DD39,154,1,1,0,234,0
C844,61,1,1,0,240,1
8CEF,138,1,1,0,241,0
BA4B,239,1,1,0,9,1
4A42,246,1,1,0,43,0
F540,22,1,1,0,54,0
C205,34,1,1,0,58,1
9C90,169,1,1,0,61,0
BE0E,249,1,1,0,85,0
68B0,178,1,1,0,89,0
AF03,143,1,1,0,104,0
99A5,57,1,1,0,105,0
AFCB,130,1,0,1,0,0
32BC,248,1,1,0,108,0
D4A5,70,1,1,0,140,0
40DA,172,1,1,0,147,1
05E9,202,1,1,0,150,0
16E0,145,1,1,0,156,1
5587,57,1,1,0,159,0
17B0,20,1,1,0,186,0
6A46,142,1,1,0,188,1
D14C,107,1,1,0,190,1
74BC,51,1,1,0,194,0
0366,158,1,1,0,200,0
FEAA,213,1,1,0,212,0
8DE2,236,1,1,0,221,0
8CD5,54,1,1,0,245,0
6319,82,1,1,0,5,0
41DF,83,1,1,0,22,0
53FF,28,1,1,0,23,1
F670,101,1,1,0,50,0
1C69,140,1,1,0,64,0
3DF6,59,1,1,0,65,0
776F,80,1,1,0,74,0
3C86,42,1,1,0,83,0
E016,146,1,1,0,85,0
F848,213,1,1,0,99,1
7B77,150,1,1,0,106,0
D480,110,1,1,0,116,0
E14B,142,1,1,0,140,1
0C5F,59,1,1,0,141,1
20C6,136,1,1,0,153,0
99C1,95,1,1,0,175,0
BE81,229,1,1,0,209,1
8378,22,1,1,0,212,0
59C1,172,1,1,0,224,0
5BDE,210,1,1,0,225,0
D8D7,128,1,1,0,246,0
8626,207,1,1,0,248,0
E764,116,1,1,0,254,0
7A31,90,1,1,0,3,0
D200,204,1,1,0,12,0
1A85,34,1,1,0,28,0
32C2,146,1,1,0,32,0
80B5,140,1,1,0,60,0
69FB,54,1,1,0,61,0
66EE,1,1,1,0,89,0
64F9,121,1,1,0,91,0
8B35,56,1,1,0,119,0
73BE,5,1,1,0,123,0
3EB4,176,1,1,0,128,0
B2BE,11,1,1,0,131,0
FF91,121,1,1,0,134,1
09F1,161,1,1,0,139,1
711A,197,1,1,0,153,0
4841,168,1,1,0,190,1
0D80,77,1,1,0,210,0
EF01,138,1,1,0,216,1
9B65,84,1,1,0,231,1
5B53,9,1,1,0,26,0
D028,157,1,1,0,50,0
402C,75,1,1,0,62,0
63A4,150,1,1,0,72,0
4592,237,1,1,0,91,0
F165,208,1,1,0,100,1
B043,82,1,1,0,102,0
0FCD,43,1,1,0,105,0
9730,216,1,1,0,113,1
B327,145,1,1,0,115,1
6498,168,1,1,0,122,1
369F,58,1,1,0,151,0
96B8,103,1,1,0,155,0
3B95,196,1,1,0,176,0
486E,42,1,1,0,178,0
9E61,181,1,1,0,179,0
BF03,92,1,1,0,208,0
BBDB,198,1,1,0,239,0
6A06,152,1,1,0,241,0
106D,187,1,1,0,255,0
6EAF,93,1,1,0,9,0
BB13,76,1,0,1,0,0
D252,185,1,1,0,13,0
858E,34,1,1,0,15,0
FA65,88,1,1,0,16,0
2C79,110,1,1,0,54,0
CA94,203,1,1,0,59,0
4137,38,1,1,0,64,0
417A,186,1,0,1,0,0
F44A,51,1,1,0,69,1
06B0,150,1,1,0,72,1
1E4B,70,1,1,0,99,0
BE61,94,1,1,0,100,0
D429,13,1,1,0,106,0
1A97,40,1,1,0,110,0
D792,104,1,1,0,133,1
15EF,85,1,1,0,150,1
4AA9,74,1,1,0,158,0
4DBB,236,1,1,0,187,0
52F2,103,1,1,0,191,1
3131,116,1,1,0,202,0
7AC6,185,1,1,0,210,0
CA19,219,1,1,0,212,0
DAF9,92,1,1,0,215,0
8B9A,119,1,1,0,244,0
83FF,38,1,1,0,250,0
5037,76,1,1,0,6,0
BE14,129,1,0,1,0,0
04E6,144,1,1,0,21,0
E934,233,1,1,0,26,1
91B0,144,1,1,0,30,0
49CD,218,1,1,0,44,0
4B4D,128,1,1,0,49,0
8371,-8953229,1,0,0,0,0
AB4F,59,1,1,0,65,0
7FBE,228,1,1,0,74,0
819E,219,1,1,0,77,0
8691,41,1,1,0,80,0
C712,6,1,1,0,82,0
B15E,195,1,1,0,122,1
A5D9,117,1,1,0,139,0
8FBD,168,1,1,0,145,0
A180,70,1,1,0,165,1
C31C,20,1,1,0,171,0
BA24,175,1,1,0,177,0
ABA6,167,1,1,0,190,0
FDDF,247,1,1,0,199,0
6BA6,10,1,1,0,202,1
C077,71,1,1,0,218,0
C439,227,1,1,0,233,0
80BD,85,1,1,0,4,0
974F,1,1,1,0,73,1
A53A,249,1,1,0,75,0
F3D1,0,1,1,0,107,0
3755,76,1,1,0,127,0
052D,120,1,1,0,128,1
43E6,126,1,1,0,129,1
A775,50,1,1,0,131,1
84A3,123,1,1,0,134,0
281D,36,1,1,0,143,0
6D4C,111,1,1,0,161,0
121B,216,1,1,0,165,0
64F7,135,1,1,0,167,0
FC5E,210,1,1,0,171,1
EB27,230,1,1,0,186,0
EC5D,204,1,1,0,192,0
F0F1,183,1,1,0,195,0
9A95,12,1,1,0,196,0
7CA6,155,1,1,0,243,0
47E5,75,1,1,0,253,0
16FE,154,1,1,0,5,0
EE0A,199,1,1,0,18,0
F11B,189,1,1,0,22,0
2906,128,1,1,0,40,0
A61C,23,1,1,0,55,0
99EF,136,1,1,0,67,1
53B3,70,1,1,0,71,0
3649,59,1,1,0,100,0
C5A7,237,1,1,0,109,1
4EF0,256,1,1,0,124,1
BBC5,114,1,1,0,132,0
C4A0,248,1,1,0,151,0
7CAB,102,1,1,0,153,0
6CF8,225,1,1,0,154,0
1A9E,89,1,1,0,166,0
471E,49,1,1,0,187,0
73C9,145,1,1,0,197,0
179D,88,1,1,0,235,0
45E5,77,1,1,0,236,0
F1B4,231,1,0,1,0,0
AE0F,126,1,1,0,238,0
296D,64,1,0,1,0,0
746E,76,1,1,0,240,0
8C4F,176,1,1,0,241,0
2841,142,1,1,0,252,0
A37D,255,1,1,0,23,0
6EE1,60,1,1,0,26,0
BBF0,174,1,1,0,54,0
B646,157,1,1,0,69,0
3738,76,1,1,0,71,0
6E06,93,1,0,1,0,0
D831,9,1,1,0,78,0
4304,181,1,1,0,83,0
9C1A,230,1,1,0,108,0
197F,208,1,1,0,110,0
64C4,86,1,1,0,115,0
6455,212,1,0,1,0,0
D2A4,174,1,1,0,116,0
DF99,226,1,1,0,124,0
49AB,105,1,1,0,140,0
B9D5,2,1,1,0,163,0
15AF,82,1,1,0,174,1
3376,250,1,1,0,182,1
87F6,55,1,1,0,185,0
9DE2,127,1,1,0,187,1
62AC,235,1,1,0,196,1
2A01,181,1,1,0,210,0
89D9,156,1,1,0,216,0
83D5,95,1,1,0,223,0
3D64,195,1,1,0,25,1
02B1,145,1,1,0,40,1
7E8A,28,1,1,0,41,0
C4A0,248,1,1,0,42,0
D0D5,129,1,1,0,51,0
A6CC,13,1,1,0,55,0
59CB,248,1,1,0,61,0
E6B4,17,1,1,0,67,0
72F2,254,1,1,0,73,0
A79E,242,1,1,0,98,0
B446,117,1,1,0,100,0
3012,64,1,1,0,131,0
DEA1,109,1,1,0,135,0
9FC6,54,1,1,0,137,1
1C4F,189,1,1,0,156,0
A687,188,1,0,1,0,0
B70B,20,1,1,0,157,0
45AB,140,1,1,0,167,0
A1EA,71,1,1,0,180,0
6768,108,1,1,0,196,0
DA5D,155,1,1,0,208,1
F980,63,1,1,0,230,0
1691,237,1,1,0,249,0
469A,30,1,1,0,2,1
46B7,151,1,0,1,0,0
076E,43,1,1,0,21,0
98AC,70,1,1,0,28,0
60E5,251,1,1,0,48,0
7283,212,1,0,1,0,0
2AC9,132,1,1,0,69,0
E434,145,1,1,0,89,1
CFAE,210,1,1,0,103,0
FF72,88,1,1,0,114,0
70D7,126,1,1,0,126,0
1F6A,41,1,1,0,152,1
13F6,113,1,1,0,159,0
2E35,117,1,1,0,161,1
2AA1,14,1,0,1,0,0
3B62,34,1,1,0,166,0
D965,67,1,1,0,183,0
9779,153,1,1,0,207,1
A631,198,1,1,0,218,1
00FC,188,1,1,0,222,0
A63A,8136217,1,0,0,0,0
4003,142,1,1,0,228,0
17C9,152,1,1,0,255,0
52C7,250,1,1,0,7,0
42B9,97,1,1,0,19,1
100A,173,1,1,0,22,0
CA7C,246,1,1,0,31,0
382B,171,1,1,0,42,1
4E25,83,1,1,0,46,1
1167,131,1,1,0,56,0
29E4,167,1,1,0,59,0
3758,129,1,1,0,64,0
77BC,221,1,1,0,66,0
5523,101,1,1,0,70,0
2EAE,93,1,1,0,78,1
CDE9,233,1,1,0,82,0
DA5A,241,1,1,0,96,0
2505,84,1,1,0,112,0
1A0B,14,1,1,0,151,0
C16F,136,1,1,0,166,1
7C25,255,1,1,0,202,0
4726,244,1,1,0,205,0
BD13,184,1,1,0,217,0
16A2,14,1,1,0,218,0
6AC3,45,1,1,0,0,0
F3F4,30,1,1,0,16,1
5D8B,123,1,1,0,17,1
6119,139,1,1,0,23,0
91FF,169,1,1,0,26,0
BC43,251,1,1,0,37,0
C626,137,1,1,0,41,0
C469,242,1,1,0,46,0
5A96,88,1,1,0,55,0
9ADB,7,1,1,0,71,0
1164,144,1,1,0,85,1
35FE,51,1,1,0,93,1
5957,212,1,1,0,97,0
5C9F,189,1,1,0,106,0
77E7,103,1,0,1,0,0
FBE6,211,1,1,0,119,0
8365,66,1,1,0,124,0
FE1D,54,1,1,0,145,0
29D3,8,1,1,0,154,0
184F,24,1,1,0,188,1
20E7,104,1,1,0,189,0
8FAF,139,1,1,0,193,0
50F5,194,1,1,0,196,0
0AC7,158,1,1,0,198,0
90FA,227,1,1,0,243,0
BA9D,212,1,1,0,251,1
88B2,242,1,1,0,254,0
5722,160,1,1,0,10,0
458A,14,1,1,0,17,0
1FD7,95,1,1,0,22,1
B34F,89,1,1,0,24,0
5962,140,1,0,1,0,0
72EF,25,1,1,0,32,0
52A4,80,1,1,0,41,0
A921,68,1,1,0,53,0
8ED9,187,1,1,0,69,0
EFBF,40,1,1,0,80,0
5A12,120,1,0,1,0,0
EA18,118,1,1,0,82,1
3762,91,1,1,0,87,0
02A2,172,1,1,0,89,0
D688,174,1,1,0,92,0
4EF6,41,1,1,0,114,0
EC0E,69,1,1,0,131,0
2E8D,9,1,1,0,136,0
BDC4,88,1,1,0,142,0
1158,0,1,1,0,143,1
0679,215,1,1,0,144,0
3CF8,16,1,1,0,169,0
67D2,208,1,1,0,179,0
1980,92,1,1,0,186,0
85FA,137,1,1,0,214,0
FFCA,76,1,1,0,234,0
A267,93,1,1,0,236,0
130F,137,1,1,0,239,0
8DEA,145,1,1,0,255,1
47EC,113,1,1,0,2,0
6D1D,48,1,1,0,6,0
453D,89,1,1,0,17,0
A010,192,1,1,0,19,0
20D8,194,1,1,0,25,0
6EF6,57,1,1,0,31,1
D1CD,229,1,1,0,46,0
A076,124,1,0,1,0,0
AE59,27,1,1,0,55,0
8C23,25,1,1,0,60,1
258F,100,1,1,0,69,0
0A07,99,1,1,0,71,0
1AC9,33,1,1,0,78,0
90C0,210,1,1,0,90,0
0FBD,168,1,1,0,103,1
8AF8,77,1,1,0,109,0
C462,93,1,1,0,110,0
610B,93,1,1,0,133,1
8467,204,1,1,0,141,1
73AD,160,1,1,0,144,0
265F,137,1,1,0,160,1
6B72,32,1,1,0,162,0
868C,176,1,1,0,174,0
E3AE,129,1,1,0,189,1
0A4C,46,1,0,1,0,0
53A5,201,1,1,0,196,0
C67F,185,1,1,0,209,0
6077,187,1,1,0,15,0
B281,187,1,1,0,26,0
BE1A,234,1,1,0,32,0
D220,141,1,1,0,37,0
00F1,7,1,1,0,38,0
D275,195,1,0,1,0,0
9AF6,46,1,1,0,83,0
33FA,10,1,1,0,96,0
5F1E,151,1,1,0,97,0
6D8A,247,1,1,0,107,0
6287,85,1,1,0,115,1
1923,111,1,1,0,132,0
B942,94,1,1,0,134,0
1188,2,1,1,0,138,1
DC46,173,1,1,0,140,0
A695,203,1,1,0,154,0
F545,128,1,1,0,178,0
6649,238,1,1,0,190,0
5282,108,1,1,0,198,0
8C7A,13,1,1,0,210,0
1812,115,1,1,0,227,0
D0B5,21,1,1,0,0,0
FCA0,29,1,1,0,10,1
7E06,64,1,1,0,17,0
D158,143,1,1,0,24,0
7717,57,1,1,0,25,0
75FD,210,1,1,0,51,0
CF6B,126,1,1,0,82,1
E23A,165,1,1,0,95,0
2B4B,164,1,1,0,98,0
7C49,138,1,1,0,102,1
8C90,201,1,0,1,0,0
9D1D,37,1,1,0,109,0
BD0E,113,1,1,0,117,0
72C3,238,1,1,0,119,0
0BFE,0,1,1,0,124,0
626E,166,1,1,0,126,0
CC80,133,1,1,0,140,0
0679,215,1,1,0,166,1
6366,138,1,1,0,185,0
A1C4,244,1,1,0,207,0
1718,204,1,1,0,208,0
EDC4,96,1,1,0,209,1
5B9D,121,1,1,0,220,0
6247,147,1,0,1,0,0
96C1,192,1,1,0,226,0
EFC4,71,1,1,0,245,1
AD9B,10,1,1,0,252,1
9B38,21,1,1,0,6,0
9906,12,1,1,0,11,0
6671,250,1,1,0,23,0
C3F4,155,1,1,0,43,1
3000,98,1,1,0,91,0
F185,4,1,1,0,98,0
EB76,155,1,1,0,99,0
69D3,91,1,1,0,102,0
D302,34,1,1,0,114,0
CB8B,77,1,1,0,150,0
FA5B,89,1,1,0,153,1
B75E,248,1,1,0,155,1
82A8,154,1,1,0,157,0
CE66,158,1,1,0,161,0
BF98,156,1,1,0,173,1
8034,24,1,1,0,183,0
A0BA,115,1,1,0,189,0
0778,21,1,1,0,195,1
8EA8,33,1,1,0,203,1
6CBA,246,1,1,0,204,0
FA8C,198,1,0,1,0,0
7F0D,40,1,1,0,206,0
E44E,149,1,1,0,211,1
CB31,79,1,1,0,235,0
407D,40,1,1,0,237,1
7729,160,1,1,0,239,0
3285,34,1,1,0,241,0
3CD5,93,1,1,0,250,0
2A6E,175,1,1,0,7,1
45DC,246,1,1,0,48,0
D3E7,4,1,1,0,105,0
4C8B,15,1,1,0,108,0
8F49,77,1,1,0,127,0
645B,65,1,1,0,128,0
49F2,178,1,1,0,130,0
7C30,228,1,1,0,142,0
718B,64,1,1,0,143,0
C7F2,33,1,1,0,160,0
4416,20,1,1,0,191,0
7056,65,1,1,0,203,1
F2CB,110,1,1,0,211,0
B92F,151,1,1,0,228,0
E50B,236,1,1,0,42,1
DD87,44,1,1,0,50,0
28B3,218,1,1,0,60,0
A88F,162,1,1,0,64,0
F7FE,184,1,1,0,68,0
36AE,189,1,1,0,69,1
ADCA,232,1,1,0,73,0
5FBD,34,1,1,0,76,0
C34A,43,1,1,0,100,0
0DA3,207,1,1,0,112,0
BD5E,192,1,1,0,113,0
D79D,67,1,1,0,119,0
77C1,23,1,1,0,124,0
5528,178,1,1,0,168,1
1FCB,139,1,1,0,173,0
F517,111,1,1,0,185,0
55CB,69,1,0,1,0,0
E7B1,166,1,1,0,189,0
C8C9,64,1,1,0,195,0
8B89,187,1,1,0,199,1
E176,12,1,1,0,215,1
9B42,139,1,1,0,221,0
EE2B,236,1,1,0,225,0
FC2A,99,1,1,0,229,0
49E2,143,1,1,0,231,0
384F,181,1,1,0,242,0
6947,135,1,1,0,245,0
8C2E,141,1,1,0,247,0
6542,167,1,1,0,13,0
272F,220,1,1,0,31,0
03EF,99,1,1,0,40,0
2CF4,0,1,1,0,54,1
6A88,67,1,1,0,56,0
6147,119,1,1,0,73,0
79DD,69,1,1,0,85,1
F3AF,138,1,1,0,95,0
E45B,177,1,1,0,101,0
3A88,0,1,1,0,105,0
7BC9,54,1,1,0,119,0
B820,96,1,1,0,139,0
0EC6,17,1,1,0,140,1
791C,220,1,0,1,0,0
69F2,235,1,1,0,155,0
F374,33,1,0,1,0,0
CC1C,72,1,1,0,184,0
64F3,14,1,1,0,200,0
62AE,81,1,1,0,228,0
BC5F,112,1,1,0,238,0
5E04,234,1,1,0,252,1
33CE,166,1,1,0,3,0
68EE,91,1,1,0,14,0
6F59,85,1,1,0,39,0
F7CB,206,1,1,0,44,0
7E04,33,1,1,0,51,1
E347,42,1,1,0,58,0
A581,43,1,1,0,94,0
7535,19,1,1,0,97,1
4855,98,1,1,0,98,1
DE28,68,1,1,0,100,1
6CF7,229,1,1,0,104,1
8E38,25,1,1,0,105,0
A507,164,1,0,1,0,0
5BC3,107,1,1,0,106,0
EB46,64,1,1,0,108,0
74F0,142,1,1,0,111,0
CB6E,175,1,1,0,117,0
D3DE,28,1,1,0,121,0
3173,32,1,1,0,123,0
8A9F,120,1,1,0,126,1
C39D,196,1,1,0,142,0
EF3B,228,1,1,0,165,0
C38B,100,1,0,1,0,0
1E5F,8,1,1,0,188,0
BBA0,82,1,1,0,195,0
8062,87,1,1,0,203,1
BB73,210,1,0,1,0,0
EF39,34,1,0,1,0,0
FFE9,103,1,1,0,204,0
61E4,250,1,1,0,211,1
F209,80,1,1,0,222,1
5B6D,1,1,0,1,0,0
FAD9,8,1,1,0,227,0
6E27,179,1,1,0,235,0
31EE,255,1,0,1,0,0
24E8,93,1,1,0,239,0
E9DE,148,1,1,0,242,1
747F,154,1,0,1,0,0
